的,3551
我,2583
你,2114
在,840
了,566
是,489
說,382
讓,369
不,341
有,323
也,250
都,229
什麼,226
著,220
為,171
對,168
和,167
要,155
看,152
自己,150
一個,148
就,144
我們,144
想,143
它,143
來,142
離開,135
卻,133
他,127
再,121
不要,119
誰,114
被,113
沒,112
好,109
該,108
不出,107
像,104
走,100
會,98
時間,98
人,96
這,90
愛,87
只是,84
這樣,83
把,81
而,77
聽,77
因為,77
帶,76
不會,76
曾,76
上,75
還有,75
知道,74
如何,70
躲,70
去,70
世界,68
多,68
後,67
告訴,67
一點,67
今天,66
所有,66
啦,65
太,63
溫柔,63
她,63
心,63
話,61
就是,61
靜靜,61
還是,60
跟,59
寂寞,59
需要,58
就算,58
又,58
原因,57
失去,57
用,56
時候,56
猜,55
不是,54
回家,54
這裡,53
從,53
一天,53
生活,53
每,53
擁抱,52
嗎,52
表情,51
喜歡,51
地,51
那,49
就要,49
如果,49
真的,48
太多,48
很,48
改變,48
才,46
手,46
陪,45
一種,45
一切,45
愛情,45
愛我,45
一起,44
一秒,44
早已,43
只,43
於,43
是否,43
到,42
得,41
住,41
自由,41
怎麼,40
靠近,40
留給,40
長,40
不願,40
一次,39
咖啡,39
怕,39
真心,38
一,38
鬆,38
找,38
懂,37
別,37
眼睛,37
沒有,36
不見,36
呢,35
與,35
中,35
唱,35
起,35
最,34
一首歌,34
這麼,34
多少,34
夢,34
想一想,34
曾經,34
冬天,33
一片,33
愛著,33
許多,32
躺,32
但,32
每天,32
請,32
一步,31
欣賞,31
像是,31
回憶,31
下午,31
唯一,31
哪,31
昨天,31
勇敢,31
不應,31
親手將,30
可不可以,30
其實,30
慢慢,30
寫,30
一樣,29
個,29
他們,29
美麗,29
越,29
確定,29
場合,29
面對,29
放,29
決定,29
短短,28
機會,28
真實,28
生命,28
停下,28
不想,28
若,28
葬送,28
坐在,28
想要,27
心中,27
柏拉,27
旅行,27
黑暗,27
圖式,27
飛,27
沈,26
眼淚,26
快樂,26
總,26
天空,26
追,26
開始後悔,26
房間,26
等,26
之前,26
孤獨,26
我會,26
是不是,25
出,25
城市,25
空間,25
希望,25
賣,25
思緒,25
迷失,25
勉強,25
記得,25
明天,24
睡,24
全世界,24
代替,24
吧,24
夜,24
可以,24
害怕,24
隨著,24
衣櫃,24
全都,23
澱,23
太陽,23
雨水,23
回來,23
隱藏,23
逃,23
那些,23
太聰明,23
眼神,23
弄,23
以,23
思念,23
懲罰,23
地圖,23
雙手,22
心情,22
街,22
殘破,22
輕,22
身體,22
煙,22
有陽光,22
相信,22
以前,22
無,21
無法,21
吹,21
答,21
盡,21
更,21
已,21
亂,21
未知,21
空氣,21
做,21
哪裡,21
孩子,21
一直,21
感覺,21
快,21
遠,20
開,20
媽媽,20
午夜,20
隻,20
人群,20
逃避,20
角落,20
聲音,20
能,20
身邊,20
有人,20
擁有,20
看過,20
心要,19
分心,19
不再,19
一些,19
窗外,19
瞭解,19
敵,19
微笑,19
語言,19
回去,19
看穿,19
等到,19
喝,19
別人,19
徹底,18
從容,18
而過,18
可能,18
適合,18
記憶,18
花,18
結果,18
勇氣,18
用力,18
冷漠,18
疲倦,18
沈默,18
瘋掉,18
夜裡,18
理由,18
也許,18
擺,18
不能,18
回到,18
愛上,18
脆弱,18
還愛我,18
自,18
擦肩,18
夢裡,17
冷,17
變成,17
盡頭,17
那個,17
意義也,17
愛的,17
最愛的,17
歌曲,17
一顆,17
距離,17
般的,17
可,17
哭,17
歌,17
一句,17
握住,17
晚上,16
才能,16
玻璃窗,16
問,16
秘密,16
忽,16
黑夜,16
感受,16
幻想,16
電視,16
無處,16
最初,16
雨,16
狂戀,16
無聲,16
這個,16
大海,16
新,16
藍色,16
整理,16
流浪,16
這些,16
浪花,16
玩具,16
小心,16
星星,16
每個,16
繼續,16
進,16
甜蜜,16
忘,16
下來,16
可是,16
只要,16
走出,16
再給,16
單純,15
穿,15
下去,15
一般,15
醒,15
島嶼,15
之間,15
閃,15
我要,15
話題,15
短暫,15
沙子,15
熱情,15
許是,15
心裡,14
鐘,14
有力,14
沈醉,14
一棵,14
棲身,14
漫步,14
一件,14
天使,14
心事,14
不及,14
美好,14
多加,14
簡單,14
笑語,14
玩,14
天色,14
這忙,14
雪,14
十二月,14
愛人,14
沙,14
戴,14
一杯,14
安安,14
熱鬧,14
毫不,14
懷裡,14
微風,14
爸爸,14
發現,14
親口,14
外衣,14
沒什麼,14
荒原,14
崇拜,14
流水,14
壞,14
一粒,14
等待,14
地什麼,14
影子,14
氣,14
已經,14
見,14
宇宙,14
當作,14
真正,14
並肩,14
埋葬,14
還在,14
沒錯,14
一陣,14
一盒,14
出去,14
實現,14
巴黎,14
下,14
如此,14
樹,14
飛翔,13
熟悉,13
我願,13
那麼,13
開手,13
深深,13
森林,13
靠,13
完美,13
小,13
家,13
抱,13
行動,13
路,13
無聊,13
除了,13
事情,13
過去,13
李欣芸,13
準備,13
只有,13
闖,13
視線,13
海岸,13
遙遠,13
一口,13
特別,13
遮掩,13
往日,13
面前,13
總是,13
所謂,13
瘋狂,13
行李,13
漫漫,12
覺得,12
重,12
複,12
九份,12
口袋,12
跳舞,12
留念,12
裡的,12
安全,12
走高,12
安靜,12
不到,12
謝謝,12
警告,12
牽,12
變化,12
之中,12
之上,12
一封信,12
停留,12
椅子,12
我問,12
腳,12
白,12
掉,12
現,12
意義你,12
蒐集,12
拍照,12
留,12
送,12
佔,12
緊緊,12
漩,12
回憶藏,12
牽著,12
採取,12
最後溫,12
大雨,12
在乎,12
道理,12
努力,12
時刻,12
整個,12
想念,12
所以,12
得到,12
柔,12
小孩,12
白天,12
黃,12
一道,12
本裡,12
咖啡店,12
天熱,12
不下,12
秋天,12
還愛我用,12
重要,12
許有,12
毛衣,12
景色,12
午,12
潮汐,12
太過,11
小心翼翼,11
前,11
難,11
大聲,11
或,11
時,11
畫面,11
左右,11
嘴唇,11
未來,11
消息,11
街上,11
保留,11
閃動,11
好像,11
臉,11
最好,11
昨日,11
並非,11
惡,11
街道,11
喧鬧,11
出口,11
一座,11
插,11
暫時,11
保護,11
墊,11
答答,11
危險,11
青春,11
羨慕,11
肩,11
欲求,11
電話,11
某,11
日子,10
下雪,10
手掌,10
寄出,10
品嚐,10
風,10
日麗,10
懷念著,10
目的,10
北京,10
美女,10
真理,10
記書,10
同樣,10
覆蓋,10
習慣,10
虛偽,10
們,10
用心,10
地方,10
而已,10
情緒,10
光陰,10
有點,10
還聽,10
我用,10
掩飾,10
外面,10
培養,10
足夠,10
默契,10
不斷,10
狂奔,10
瞬間,10
瀟灑,10
場景,10
愛讓,10
閉上,10
天天,10
韃,10
聰明,10
痕跡,10
跑,10
自從,10
犯錯,10
起點,10
飛行,10
難過,10
錯,10
踏過,10
陌生,10
愛你,10
失眠,10
呼喊,10
年代,10
動心,10
美景,10
土耳其,10
消失,10
熟,10
約,10
馬,10
心理,10
還沒有,10
放棄,10
看到,10
這是,10
挑選紀念品,10
髮,10
三點,9
作,9
許夢,9
關上,9
絕望,9
遲到,9
看來,9
看清,9
點以,9
復,9
一條,9
渦,9
應該,9
轉載,9
大,9
歌唱,9
竟然,9
成功,9
起來,9
理性,9
一滴,9
離別,9
不過,9
完一場,9
離,9
眼裡,9
偶然,9
永恆,9
假動作,9
氣再,9
夏天,9
那裡,9
夢想,9
止不住,9
緊閉,9
還給,9
空白,9
漂著,9
無情,9
不安,9
明白,9
封閉,9
交界,9
城堡,9
精彩,9
輕輕,9
吃,9
誇張,9
自私,9
藏,9
雨天,9
一首,9
一年,9
華麗,9
幸福,9
並不企圖,9
雙眼,9
要求,9
英雄,9
這歌裡,9
旋律,9
行人,9
意義,9
享受,9
照片,9
晚上十,9
傷害,9
字,9
想到,9
盒子,9
線,9
一字一句,9
孤單,9
撐,9
沙漠,9
月亮,9
夜晚,9
開始,9
車門,9
冒險,9
飄,9
往前走,9
練習,9
看輕,8
眼睜睜,8
人溫,8
誘惑,8
水,8
傻得,8
悲傷,8
提著,8
甜美,8
據,8
到底,8
一下,8
柔軟,8
混亂,8
扯,8
一來,8
混濁,8
每分,8
落下,8
人人,8
擁擠,8
勸,8
還,8
旋轉,8
懷中,8
一舉,8
我還,8
隔,8
之,8
名字,8
永久,8
摘下,8
流連裡,8
完,8
休息,8
迷路,8
真愛我,8
淡薄,8
自由自在,8
調和過,8
責任,8
脾氣,8
單單,8
施佑霖,8
早餐,8
轉意,8
即使,8
廉價,8
滋味,8
簡簡,8
氣息裡,8
下定,8
太想,8
進別,8
每秒,8
微微,8
景象,8
懶,8
別問,8
綠色,8
發亮,8
隙,8
不願放,8
交付,8
蓋,8
黎明,8
高尚情操,8
除非,8
比,8
笑容,8
貼,8
累計,8
提醒,8
沙灘,8
一揮手,8
劇情,8
神秘,8
